Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
BGTG,PT Bank Ganesha Tbk,2.66T,110.00,"15,325,800",Banks - Regional,Financials,562.41B,17.77%,241.16B,"-1,558.13B"
RONY,PT Aesler Grup Internasional Tbk,4.58T,"3,380.00","14,3",Engineering & Construction,Industrials,1.91B,-54.18%,151.14M,689.26M
KPIG,PT MNC Tourism Indonesia Tbk,14.15T,145.00,"91,646,800",Real Estate Services,Real Estate,2.60T,59.54%,717.88B,98.14B
MDKA,PT Merdeka Copper Gold Tbk,59.08T,"2,430.00","34,457,700",Other Industrial Metals & Mining,Materials,32.46T,-12.31%,-958.76B,"-2,095.68B"
BOLT,PT Garuda Metalindo Tbk,2.65T,"1,120.00","6,2",Tools & Accessories,Industrials,1.63T,12.76%,136.32B,185.86B
ABDA,PT Asuransi Bina Dana Arta Tbk,1.68T,"2,700.00",200,Insurance - Property & Casualty,Financials,1.04T,21.36%,105.36B,-39.94B
INDY,PT. Indika Energy Tbk,10.15T,"1,950.00","25,953,600",Thermal Coal,Energy,35.14T,-16.19%,-398.01B,-554.40B
EPMT,PT Enseval Putera Megatrading Tbk.,6.37T,"2,340.00","55,4",Medical Distribution,Healthcare,32.20T,5.36%,758.02B,703.35B
ALII,PT Ancara Logistics Indonesia Tbk,8.78T,565.00,"12,696,100",Marine Shipping,Industrials,981.94B,6.92%,372.88B,194.23B
DWGL,PT Dwi Guna Laksana Tbk,3.28T,354.00,"28,282,900",Thermal Coal,Energy,3.35T,-2.61%,167.73B,259.62B
DSNG,PT Dharma Satya Nusantara Tbk,19.19T,"1,810.00","45,097,900",Farm Products,Consumer Staples,11.89T,17.67%,1.60T,1.04T
BESS,PT Batulicin Nusantara Maritim Tbk,5.68T,"1,650.00","635,3",Marine Shipping,Industrials,387.39B,31.38%,94.77B,117.81B
MLPL,PT Multipolar Tbk,2.03T,130.00,"100,855,500",Department Stores,Consumer Discretionary,11.57T,3.99%,-121.44B,286.15B
BFIN,PT BFI Finance Indonesia Tbk,11.73T,780.00,"19,425,900",Credit Services,Financials,4.60T,5.04%,1.62T,484.10B
ICBP,PT Indofood CBP Sukses Makmur Tbk,98.83T,"8,700.00","7,693,000",Packaged Foods,Consumer Staples,73.38T,1.79%,6.04T,9.74T
JSMR,PT Jasa Marga (Persero) Tbk,25.69T,"3,540.00","6,052,400",Infrastructure Operations,Industrials,27.33T,-7.95%,3.96T,5.24T
BRAM,PT Indo Kordsa Tbk,2.27T,"5,000.00","1,8",Auto Parts,Consumer Discretionary,2.41T,-39.64%,-9.46B,149.78B
ASLI,PT Asri Karya Lestari Tbk,1.06T,178.00,"63,540,500",Engineering & Construction,Industrials,311.37B,57.72%,-3.20B,-4.87B
SMCB,PT Solusi Bangun Indonesia Tbk,6.99T,775.00,"10,8",Building Materials,Materials,10.95T,-6.93%,797.08B,720.07B
AGII,PT Samator Indo Gas Tbk,3.47T,"1,120.00","2,097,600",Chemicals,Materials,2.99T,3.87%,84.58B,-61.07B
FAST,PT Fast Food Indonesia Tbk,2.85T,630.00,"66,461,900",Restaurants,Consumer Discretionary,4.85T,-1.17%,-479.21B,-662.34B
AADI,PT Adaro Andalan Indonesia Tbk,64.44T,"8,225.00","8,047,500",Thermal Coal,Energy,81.43T,-9.32%,12.07T,8.07T
DKFT,PT Central Omega Resources Tbk,4.05T,730.00,"17,895,200",Industrial Materials,Materials,1.74T,36.66%,519.01B,838.45B
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,350.67T,"3,540.00","182,624,300",Telecom Services,Communication Services,147.37T,-1.89%,21.76T,41.55T
DNAR,PT Bank Oke Indonesia Tbk,2.03T,118.00,"1,096,200",Banks - Regional,Financials,480.83B,45.39%,140.32B,"-1,562.17B"
MLBI,PT Multi Bintang Indonesia Tbk,12.22T,"5,800.00","312,2",Beverages - Brewers,Consumer Staples,3.43T,1.43%,1.10T,1.28T
ISSP,PT Steel Pipe Industry of Indonesia Tbk,3.00T,418.00,"709,7",Steel,Materials,5.97T,-0.42%,541.24B,581.68B
GIAA,PT. Garuda Indonesia (Persero) Tbk,9.97T,109.00,"94,041,900",Airlines,Industrials,54.16T,-0.63%,"-2,070.05B",2.45T
DATA,PT Remala Abadi Tbk,6.60T,"4,800.00","17,187,800",Telecom Services,Communication Services,356.25B,12.23%,95.22B,-81.67B
TRGU,PT Cerestar Indonesia Tbk,1.44T,185.00,"202,6",Packaged Foods,Consumer Staples,3.79T,-37.52%,-32.51B,244.95B
MITI,PT Mitra Investindo Tbk,1.06T,300.00,"5,291,300",Oil & Gas Exploration & Production,Energy,242.95B,-13.94%,8.74B,30.14B
ADRO,PT Alamtri Resources Indonesia Tbk,55.10T,"1,890.00","109,993,300",Thermal Coal,Energy,14.93T,-2.66%,8.32T,"-27,309.86B"
ALDO,PT Alkindo Naratama Tbk,1.42T,515.00,"1,121,900",Paper & Paper Products,Materials,2.05T,12.11%,2.98B,5.59B
HGII,PT Hero Global Investment Tbk,1.03T,159.00,"7,435,400",Electric Services,-,71.12B,-26.99%,23.06B,43.26B
TPMA,PT Trans Power Marine Tbk,2.03T,580.00,"1,589,200",Marine Shipping,Industrials,1.85T,-17.14%,390.73B,-334.05B
MKAP,PT Multikarya Asia Pasifik Raya Tbk,1.13T,348.00,"138,7",Oil & Gas Equipment & Services,Energy,411.95B,38.09%,53.13B,97.91B
KKGI,PT Resource Alam Indonesia Tbk,1.58T,326.00,"5,463,900",Thermal Coal,Energy,2.99T,-43.16%,53.17B,-302.63B
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,3.93T,660.00,"11,605,400",Marine Shipping,Industrials,1.07T,-8.07%,262.37B,270.65B
MTWI,PT Malacca Trust Wuwungan Insurance Tbk,1.04T,354.00,"54,4",Insurance - Diversified,Financials,494.76B,98.70%,89.31B,-40.17B
BBSI,PT Krom Bank Indonesia Tbk,14.66T,"3,990.00","1,4",Banks - Regional,Financials,463.47B,33.51%,143.02B,-
BBYB,PT Bank Neo Commerce Tbk,5.42T,390.00,"99,102,500",Banks - Regional,Financials,1.21T,17.52%,302.09B,1.81T
NICL,PT PAM Mineral Tbk,10.48T,950.00,"4,500,900",Other Industrial Metals & Mining,Materials,1.97T,59.66%,545.70B,823.65B
TBMS,PT Tembaga Mulia Semanan Tbk,999.16B,"1,360.00","19,4",Metal Fabrication,Industrials,14.68T,19.51%,130.05B,484.51B
KLBF,PT Kalbe Farma Tbk.,55.51T,"1,320.00","113,133,900",Drug Manufacturers - General,Healthcare,34.38T,7.01%,3.49T,2.69T
BKSW,PT Bank QNB Indonesia Tbk,2.21T,63.00,"4,112,600",Banks - Regional,Financials,495.02B,-15.78%,2.32B,"-2,749.10B"
BMHS,PT Bundamedik Tbk,1.34T,155.00,"1,667,000",Medical Care Facilities,Healthcare,1.55T,0.41%,12.40B,-87.05B
BNGA,PT Bank CIMB Niaga Tbk,43.87T,"1,745.00","2,936,100",Banks - Regional,Financials,17.48T,3.05%,6.96T,-
ITMA,PT Sumber Energi Andalan Tbk,1.19T,"1,260.00","1,309,900",Other Industrial Metals & Mining,Materials,29.24B,641.39%,19.13B,210.67B
WSBP,PT Waskita Beton Precast Tbk,1.27T,23.00,"32,891,200",Building Materials,Materials,1.81T,0.99%,-680.86B,-19.33B
SPMA,PT Suparma Tbk,1.16T,370.00,"4,727,100","Paper, Lumber & Forest Products",Materials,2.76T,3.36%,58.40B,629.97B
NIRO,PT City Retail Developments Tbk,6.17T,280.00,"930,1",Real Estate Services,Real Estate,1.46T,16.85%,-274.61B,-156.21B
BNLI,PT Bank Permata Tbk,190.86T,"5,275.00","38,4",Banks - Regional,Financials,10.79T,8.56%,3.66T,"-2,636.75B"
TCID,PT. Mandom Indonesia Tbk,1.25T,"3,140.00",6,Household & Personal Products,Consumer Staples,2.10T,8.11%,-4.53B,-188.34B
ELSA,PT Elnusa Tbk,3.76T,515.00,"65,529,900",Oil & Gas Equipment & Services,Energy,14.22T,7.44%,688.99B,794.13B
DAAZ,PT Daaz Bara Lestari Tbk,5.07T,"2,490.00","228,3",Other Industrial Metals & Mining,Materials,12.95T,68.99%,340.18B,"-1,120.27B"
RAAM,PT Tripar Multivision Plus Tbk,1.69T,250.00,"9,576,600",Entertainment,Communication Services,207.94B,-39.96%,-86.48B,14.98B
ACES,PT Aspirasi Hidup Indonesia Tbk,7.53T,440.00,"41,866,000",Specialty Retail,Consumer Discretionary,8.69T,3.99%,798.92B,1.14T
IMAS,PT Indomobil Sukses Internasional Tbk,4.61T,"1,155.00","300,3",Auto & Truck Dealerships,Consumer Discretionary,30.32T,5.74%,409.84B,"-2,140.69B"
RALS,PT Ramayana Lestari Sentosa Tbk,2.56T,444.00,"10,147,700",Department Stores,Consumer Discretionary,2.52T,-7.11%,334.29B,514.21B
PBSA,PT Paramita Bangun Sarana Tbk,2.76T,920.00,"606,1",Engineering & Construction,Industrials,1.47T,61.14%,232.31B,650.11B
BINA,PT Bank Ina Perdana Tbk,27.67T,"4,510.00","4,2",Banks - Regional,Financials,554.18B,-12.40%,4.47B,"-4,000.36B"
ARII,PT Atlas Resources Tbk,933.23B,272.00,"387,4",Thermal Coal,Energy,6.30T,31.63%,123.01B,-10.40B
DCII,PT DCI Indonesia Tbk,621.08T,"260,55",500,Information Technology Services,Technology,2.63T,81.53%,1.17T,125.75B
SKRN,PT Superkrane Mitra Utama Tbk,5.73T,760.00,"5,116,500",Rental & Leasing Services,Industrials,888.48B,-15.90%,224.53B,350.22B
BSWD,PT Bank of India Indonesia Tbk,3.69T,"1,000.00",100,Banks - Regional,Financials,172.60B,12.15%,36.80B,-237.04B
SRTG,PT Saratoga Investama Sedaya Tbk,22.89T,"1,645.00","6,854,200",Asset Management,Financials,"-4,246.72B",-,"-4,359.35B",60.57B
GTSI,PT GTS Internasional Tbk,1.96T,124.00,"143,266,700",Marine Shipping,Industrials,589.46B,-9.16%,89.14B,67.62B
INPP,PT Indonesian Paradise Property Tbk,7.66T,695.00,"14,2",Real Estate Services,Real Estate,1.75T,51.71%,447.11B,28.54B
TOTO,PT Surya Toto Indonesia Tbk,2.95T,288.00,"912,4",Building Products & Equipment,Industrials,2.42T,5.78%,373.68B,256.13B
BBTN,PT Bank Tabungan Negara (Persero) Tbk,17.12T,"1,220.00","31,664,300",Banks - Regional,Financials,15.02T,5.08%,3.23T,"-15,877.59B"
EXCL,PT XLSMART Telecom Sejahtera Tbk,46.18T,"2,710.00","7,618,400",Telecom Services,Communication Services,36.43T,8.41%,-429.43B,7.94T
TBLA,PT Tunas Baru Lampung Tbk,4.54T,750.00,"1,580,200",Packaged Foods,Consumer Staples,21.31T,33.65%,828.66B,"-3,754.92B"
MINE,PT SINAR TERANG MANDIRI Tbk,1.99T,490.00,"3,182,800",Other Industrial Metals & Mining,Materials,2.25T,56.70%,278.17B,-13.17B
FMII,PT Fortune Mate Indonesia Tbk,2.29T,358.00,"38,1",Real Estate - Development,Real Estate,48.09B,75.29%,23.39B,2.53B
INET,PT Sinergi Inti Andalan Prima Tbk,2.16T,286.00,"261,803,900",Telecom Services,Communication Services,60.28B,94.49%,8.09B,-37.03B
MASB,PT Bank Multiarta Sentosa Tbk,4.57T,"3,260.00",300,Banks - Regional,Financials,901.55B,8.60%,212.38B,"-1,470.33B"
BABP,PT Bank MNC Internasional Tbk,2.40T,54.00,"3,029,000",Banks - Regional,Financials,617.70B,2.54%,87.09B,1.08T
SOHO,PT Soho Global Health Tbk,25.89T,"2,040.00","708,7",Medical Distribution,Healthcare,10.35T,13.44%,527.42B,344.74B
PSAB,PT J Resources Asia Pasifik Tbk,15.08T,570.00,"72,510,600",Gold,Materials,4.74T,13.07%,513.60B,2.13T
ASSA,PT Adi Sarana Armada Tbk,4.00T,"1,085.00","13,301,100",Rental & Leasing Services,Industrials,5.73T,24.01%,379.67B,447.25B
PTSN,PT Sat Nusapersada Tbk,1.97T,370.00,"6,694,500",Electronic Components,Technology,3.47T,74.16%,191.02B,-391.69B
TIFA,PT KDB Tifa Finance Tbk,1.43T,410.00,"1,2",Credit Services,Financials,145.18B,-0.70%,59.22B,65.22B
VICI,PT Victoria Care Indonesia Tbk,4.26T,630.00,"155,9",Household & Personal Products,Consumer Staples,1.39T,0.98%,162.32B,153.38B
BRMS,PT Bumi Resources Minerals Tbk,144.62T,"1,020.00","1,165,650,700",Other Industrial Metals & Mining,Materials,3.96T,94.04%,778.83B,221.30B
GSMF,PT Equity Development Investment Tbk,1.37T,98.00,"14,646,400",Insurance - Diversified,Financials,1.28T,2.60%,39.83B,4.62B
KOKA,PT Koka Indonesia Tbk,1.17T,410.00,"327,015,600",Engineering & Construction,Industrials,33.31B,-78.55%,-11.55B,-570.35M
FITT,PT Hotel Fitra International Tbk,1.37T,940.00,"2,674,300",Lodging,Consumer Discretionary,10.57B,-19.99%,-7.59B,-16.68B
KMTR,PT Kirana Megatara Tbk,2.23T,272.00,"281,3",Auto Parts,Consumer Discretionary,13.17T,23.76%,275.03B,983.53B
BTPN,PT Bank SMBC Indonesia Tbk,22.68T,"2,180.00","14,7",Banks - Regional,Financials,13.53T,13.99%,2.29T,"-11,179.07B"
IATA,PT MNC Energy Investments Tbk,2.25T,71.00,"2,416,600",Thermal Coal,Energy,1.32T,-43.95%,18.49B,-489.82B
AGRS,PT Bank IBK Indonesia Tbk,3.35T,70.00,"1,216,800",Banks - Regional,Financials,719.51B,11.76%,206.15B,"-1,236.53B"
UNTR,PT United Tractors Tbk,98.79T,"27,000.0","4,335,300",Other Industrial Metals & Mining,Materials,135.33T,3.67%,15.41T,14.07T
TPIA,PT Chandra Asri Pacific Tbk,607.69T,"7,025.00","4,810,900",Specialty Chemicals,Materials,97.34T,219.30%,21.49T,"-1,988.03B"
PANR,PT Panorama Sentrawisata Tbk,936.56B,680.00,"4,825,400",Travel Services,Consumer Discretionary,3.38T,13.06%,347.30B,194.22B
AGRO,PT Bank Raya Indonesia Tbk,5.53T,224.00,"10,046,100",Banks - Regional,Financials,707.62B,0.31%,58.99B,-180.73B
INDS,PT Indospring Tbk,1.48T,226.00,"336,9",Auto Parts,Consumer Discretionary,3.22T,-1.72%,68.91B,23.35B
ARTO,PT Bank Jago Tbk,29.52T,"2,110.00","9,250,200",Banks - Regional,Financials,1.83T,23.30%,241.82B,"-5,038.36B"
PSGO,PT Palma Serasih Tbk,4.18T,224.00,"359,1",Farm Products,Consumer Staples,2.41T,20.47%,392.49B,383.18B
PYFA,PT Pyridam Farma Tbk,5.57T,496.00,"33,020,400",Drug Manufacturers - Specialty & Generic,Healthcare,2.82T,109.85%,-484.05B,-679.65B
KBLI,PT KMI Wire and Cable Tbk,1.34T,336.00,"242,6",Electrical Equipment & Parts,Industrials,3.65T,8.97%,219.57B,120.93B
TAPG,PT Triputra Agro Persada Tbk,36.63T,"1,845.00","8,066,600",Farm Products,Consumer Staples,11.64T,36.43%,4.18T,2.86T
VICO,PT Victoria Investama Tbk,2.80T,184.00,"3,940,400",Asset Management,Financials,1.36T,61.42%,468.97B,"-4,827.31B"
BULL,PT Buana Lintas Lautan Tbk,3.01T,208.00,"355,572,600",Marine Shipping,Industrials,2.42T,1.34%,232.66B,369.19B
HMSP,PT Hanjaya Mandala Sampoerna Tbk,105.85T,875.00,"255,194,500",Tobacco,Consumer Staples,48.88T,-54.42%,5.93T,773.65B
SAME,PT Sarana Meditama Metropolitan Tbk,5.04T,294.00,"1,462,100",Medical Care Facilities,Healthcare,1.79T,6.31%,48.17B,-28.10B
GGRM,PT Gudang Garam Tbk,33.96T,"17,100.0","4,556,300",Tobacco,Consumer Staples,92.09T,-17.11%,1.10T,3.49T
ASLC,PT Autopedia Sukses Lestari Tbk,1.15T,91.00,"56,885,400",Auto & Truck Dealerships,Consumer Discretionary,971.35B,21.50%,34.86B,78.42B
SIMP,PT Salim Ivomas Pratama Tbk,9.92T,635.00,"7,359,600",Packaged Foods,Consumer Staples,19.65T,27.36%,2.16T,2.90T
FAPA,PT FAP Agri Tbk,21.52T,"6,200.00","3,4",Farm Products,Consumer Staples,7.04T,25.42%,990.82B,829.17B
INKP,PT Indah Kiat Pulp & Paper Tbk,40.76T,"7,450.00","5,703,300",Paper & Paper Products,Materials,51.24T,0.18%,5.02T,"-9,203.43B"
ENRG,PT Energi Mega Persada Tbk,23.14T,890.00,"114,422,600",Oil & Gas Exploration & Production,Energy,8.50T,14.66%,1.33T,-219.96B
MSIN,PT MNC Digital Entertainment Tbk,30.64T,498.00,"26,913,300",Entertainment,Communication Services,4.06T,40.53%,454.08B,265.54B
CHIP,PT Pelita Teknologi Global Tbk,1.09T,"1,360.00","156,4",Telecom Services,Communication Services,127.95B,-35.97%,4.72B,9.02B
CMPP,PT AirAsia Indonesia Tbk,1.02T,95.00,"314,6",Airlines,Industrials,8.07T,6.18%,"-1,914.40B",848.27B
MDIY,PT Daya Intiguna Yasa Tbk,27.46T,"1,085.00","2,373,500",Department Stores,Consumer Discretionary,7.64T,24.88%,1.08T,302.59B
ITMG,PT Indo Tambangraya Megah Tbk,26.21T,"23,600.0","2,653,100",Thermal Coal,Energy,35.30T,2.34%,5.45T,6.78T
SMDR,PT Samudera Indonesia Tbk,5.14T,314.00,"14,462,500",Marine Shipping,Industrials,13.01T,6.52%,875.33B,744.38B
LUCK,PT Sentral Mitra Informatika Tbk,75.87B,105.00,"12,876,700",Computer Hardware,Technology,84.30B,-16.78%,-7.02B,-11.15B
MTFN,PT Capitalinc Investment Tbk,477.63B,15.00,"48,316,400",Oil & Gas Exploration & Production,Energy,523.85B,-1.83%,-67.16B,-10.99B
LION,PT Lion Metal Works Tbk,212.23B,408.00,"117,5",Business Equipment & Supplies,Industrials,375.78B,-1.31%,-17.82B,20.19B
ATAP,PT Trimitra Prawara Goldland Tbk,105.00B,85.00,"898,8",Residential Construction,Consumer Discretionary,11.71B,-45.09%,-4.10B,-940.99M
CRSN,PT Carsurin Tbk,318.12B,112.00,883,Specialty Business Services,Industrials,491.61B,11.60%,15.33B,-6.99B
ASJT,PT Asuransi Jasa Tania Tbk,184.80B,129.00,"1,422,200",Insurance - Property & Casualty,Financials,156.50B,-7.62%,17.52B,-
BPTR,PT Batavia Prosperindo Trans Tbk,325.13B,92.00,"269,4",Rental & Leasing Services,Industrials,592.35B,18.03%,18.15B,-403.70B
FIMP,PT Fimperkasa Utama Tbk,27.60B,69.00,"35,8",Engineering & Construction,Industrials,9.87B,338.49%,2.68B,-
NZIA,PT Nusantara Almazia Tbk,243.93B,111.00,"2,293,300",Real Estate - Development,Real Estate,55.38B,-4.59%,-9.66B,8.89B
TYRE,PT King Tire Indonesia Tbk,445.51B,128.00,"68,2",Auto Parts,Consumer Discretionary,615.71B,8.60%,22.70B,-35.77B
SCNP,PT Selaras Citra Nusantara Perkasa Tbk,380.76B,165.00,"4,614,500",Consumer Electronics,Technology,215.03B,-27.03%,15.33B,-31.13B
NASI,PT Wahana Inti Makmur Tbk,83.97B,105.00,"17,541,900",Farm Products,Consumer Staples,65.31B,-34.37%,-3.13B,-3.09B
MEJA,PT Harta Djaya Karya Tbk,310.64B,162.00,"100,668,600",Engineering & Construction,Industrials,55.53B,29.89%,1.11B,4.40B
JAST,PT. Jasnita Telekomindo Tbk,102.84B,93.00,"22,511,600",Telecom Services,Communication Services,197.49B,40.32%,-2.89B,4.36B
BAJA,PT Saranacentral Bajatama Tbk,282.60B,157.00,"2,712,800",Steel,Materials,804.13B,2.03%,-58.01B,22.28B
ISAP,PT Isra Presisi Indonesia Tbk.,108.54B,27.00,"68,155,500",Metal Fabrication,Industrials,17.45B,-57.79%,-1.66B,699.33M
KDSI,PT Kedawung Setia Industrial Tbk,764.64B,472.00,"48,4",Packaging & Containers,Consumer Discretionary,2.13T,4.15%,33.89B,-992.22M
AMMS,PT Agung Menjangan Mas Tbk,590.64B,492.00,"25,348,500",Farm Products,Consumer Staples,8.84B,-32.78%,153.92M,-5.09B
GLOB,PT Globe Kita Terang Tbk,172.22B,155.00,124,Specialty Retail,Consumer Discretionary,75.87B,-61.71%,-92.53B,11.56B
GLVA,PT Galva Technologies Tbk,522.00B,360.00,"28,4",Electronics & Computer Distribution,Technology,2.03T,-10.29%,47.84B,975.54B
BIMA,"PT. Primarindo Asia Infrastructure, Tbk.",47.44B,71.00,"81,7",Footwear & Accessories,Consumer Discretionary,104.40B,10.54%,-26.36B,2.72B
SWID,PT Saraswanti Indoland Development Tbk,473.88B,88.00,"1,057,900",Real Estate - Development,Real Estate,168.53B,21.52%,37.40B,-6.28B
RUNS,PT Global Sukses Solusi Tbk,96.13B,99.00,"1,663,400",Software - Application,Technology,24.86B,-11.22%,77.26M,8.01B
PEGE,PT Panca Global Kapital Tbk,354.18B,127.00,"1,408,100",Capital Markets,Financials,27.52B,-,-25.15B,-61.89B
BAPI,PT Bhakti Agung Propertindo Tbk,117.43B,21.00,"991,8",Real Estate - Development,Real Estate,1.59B,-30.59%,-6.58B,-
MARI,PT Mahaka Radio Integra Tbk,173.34B,31.00,"2,668,900",Broadcasting,Communication Services,88.65B,-3.45%,-24.23B,-14.05B
ATLA,PT Atlantis Subsea Indonesia Tbk,390.57B,64.00,"117,566,600",Oil & Gas Equipment & Services,Energy,90.06B,27.96%,2.58B,-22.98B
TAMA,PT Lancartama Sejati Tbk,40.80B,34.00,39,Real Estate - Development,Real Estate,21.66B,-7.93%,-10.48B,-5.68B
MPIX,PT Mitra Pedagang Indonesia Tbk,104.69B,67.00,"7,331,400",Software - Infrastructure,Technology,1.73T,67.93%,17.00B,2.68B
CRAB,PT Toba Surimi Industries Tbk,565.50B,290.00,"2,642,300",Packaged Foods,Consumer Staples,608.51B,1.31%,29.71B,115.54B
CHEK,PT Diastika Biotekindo Tbk,769.19B,190.00,"11,576,400",Medical Devices,Healthcare,171.94B,33.19%,19.96B,-10.95B
GPSO,PT Geoprima Solusi Tbk,550.06B,815.00,"1,434,800",Scientific & Technical Instruments,Technology,8.37B,-35.92%,-6.42B,-2.20B
DPNS,PT Duta Pertiwi Nusantara Tbk,102.65B,310.00,"272,5",Specialty Chemicals,Materials,29.90B,-65.74%,8.31B,-16.40B
ECII,PT Electronic City Indonesia Tbk,218.68B,180.00,"455,8",Specialty Retail,Consumer Discretionary,2.34T,-4.08%,-24.87B,73.69B
SULI,PT SLJ Global Tbk,859.63B,135.00,"1,059,500",Lumber & Wood Production,Materials,185.17B,-6.00%,-98.97B,-91.94B
MANG,PT Manggung Polahraya Tbk,209.69B,55.00,"11,531,700",Engineering & Construction,Industrials,60.10B,20.03%,-6.36B,-3.74B
IBOS,PT Indo Boga Sukses Tbk,443.62B,54.00,"20,072,100",Restaurants,Consumer Discretionary,33.18B,-54.34%,-640.08M,-
WEGE,PT Wijaya Karya Bangunan Gedung Tbk,631.75B,64.00,"10,886,300",Engineering & Construction,Industrials,3.20T,-14.29%,49.67B,-117.98B
BEBS,PT Berkah Beton Sadaya Tbk,225.00B,5.00,"24,293,900",Building Materials,Materials,90.16B,-76.26%,-37.61B,-123.61B
MENN,PT Menn Teknologi Indonesia Tbk,76.00B,53.00,-,Electrical Equipment & Parts,Industrials,5.86B,-12.14%,-3.76B,-1.39B
KIAS,PT Keramika Indonesia Assosiasi Tbk,313.51B,21.00,"41,1",Building Products & Equipment,Industrials,602.30B,1.33%,-12.70B,28.08B
ASMI,PT Asuransi Maximus Graha Persada Tbk,223.96B,26.00,"320,6",Insurance - Property & Casualty,Financials,410.19B,12.43%,26.03B,-
KRYA,PT Bangun Karya Perkasa Jaya Tbk,296.18B,179.00,"5,548,800",Engineering & Construction,Industrials,143.10B,-31.44%,-72.88B,-13.59B
KDTN,PT Puri Sentul Permai Tbk,186.25B,148.00,"6,907,300",Restaurants,Consumer Discretionary,32.44B,2.38%,1.36B,-12.09B
TRUK,PT Guna Timur Raya Tbk,132.24B,350.00,"16,093,000",Trucking,Industrials,42.01B,-18.13%,-6.43B,-1.94B
FOOD,PT Sentra Food Indonesia Tbk,243.10B,402.00,"1,545,500",Packaged Foods,Consumer Staples,88.96B,13.45%,-17.35B,-8.56B
TRON,PT Teknologi Karya Digital Nusa Tbk,215.45B,73.00,"6,384,700",Information Technology Services,Technology,94.63B,6.35%,-36.59B,-39.26B
TRUS,PT Trust Finance Indonesia Tbk,347.20B,432.00,600,Credit Services,Financials,46.72B,-14.08%,19.76B,121.55B
MIRA,PT Mitra International Resources Tbk,118.84B,33.00,"9,857,500",Oil & Gas Equipment & Services,Energy,65.53B,-3.70%,-6.76B,12.65B
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,466.49B,128.00,"3,639,900",Marine Shipping,Industrials,219.08B,42.19%,48.36B,-72.77B
CHEM,PT Chemstar Indonesia Tbk,161.50B,95.00,"16,583,200",Specialty Chemicals,Materials,206.93B,17.11%,334.86M,-9.17B
IKAI,PT Intikeramik Alamasri Industri Tbk,186.28B,14.00,"42,334,400",Building Products & Equipment,Industrials,127.97B,-32.81%,-71.61B,40.76B
SEMA,PT Semacom Integrated Tbk,138.77B,103.00,"1,204,800",Specialty Industrial Machinery,Industrials,140.57B,-22.58%,9.16B,-2.04B
CNKO,PT Exploitasi Energi Indonesia Tbk,609.03B,64.00,"29,744,400",Thermal Coal,Energy,1.83T,2.42%,181.93B,262.85B
LAND,PT Trimitra Propertindo Tbk,89.36B,30.00,"4,165,500",Real Estate Services,Real Estate,46.25B,16.47%,329.10M,-11.60B
NICK,PT Charnic Capital Tbk,794.40B,"1,220.00","15,5",Real Estate Services,Real Estate,124.99B,-,111.16B,65.85B
INTD,PT Inter Delta Tbk,125.47B,218.00,"566,1",Paper & Paper Products,Materials,32.37B,-4.14%,-1.87B,11.60B
MAXI,PT Maxindo Karya Anugerah Tbk,528.56B,56.00,"24,458,600",Miscellaneous Food Preparations And Kindred Products,-,117.84B,11.89%,-1.73B,-151.49B
DGNS,PT Diagnos Laboratorium Utama Tbk,178.75B,142.00,"315,9",Diagnostics & Research,Healthcare,157.99B,-1.65%,-2.37B,-6.14B
SOTS,PT Satria Mega Kencana Tbk,326.00B,326.00,"42,6",Lodging,Consumer Discretionary,21.05B,-6.42%,-17.18B,-6.62B
APII,PT Arita Prima Indonesia Tbk,200.09B,186.00,"257,5",Manufacturing - Tools & Accessories,Industrials,301.28B,-2.11%,9.66B,-117.95M
KLIN,PT Klinko Karya Imaji Tbk,234.05B,170.00,"164,9",Home Improvement Retail,Consumer Discretionary,13.66B,-38.15%,-2.64B,2.14B
MHKI,PT Multi Hanna Kreasindo Tbk,907.50B,242.00,"7,830,500",Waste Management,Industrials,195.18B,24.74%,38.29B,-13.75B
LMSH,PT Lionmesh Prima Tbk,24.58B,256.00,100,Metal Fabrication,Industrials,93.17B,-7.89%,-5.05B,3.14B
KAQI,PT Jantra Grupo Indonesia Tbk,159.84B,69.00,"266,230,000",Auto Parts,Consumer Discretionary,61.64B,"1,302.80%",8.16B,-31.08B
CCSI,PT Communication Cable Systems Indonesia Tbk,472.00B,348.00,"175,2",Communication Equipment,Technology,293.30B,0.59%,3.67B,28.39B
ASPI,PT Andalan Sakti Primaindo Tbk,529.95B,780.00,"1,284,500",Residential Construction,Consumer Discretionary,17.33B,-36.62%,-170.29M,-6.17B
TFAS,PT Telefast Indonesia Tbk,404.26B,242.00,"1,416,200",Staffing & Employment Services,Industrials,323.65B,-26.44%,225.66M,-8.26B
CLPI,PT Colorpak Indonesia Tbk,444.19B,"1,450.00","191,2",Specialty Chemicals,Materials,934.63B,7.85%,60.51B,44.01B
RIGS,PT Rig Tenders Indonesia Tbk,481.21B,790.00,"16,3",Marine Shipping,Industrials,355.76B,5.15%,90.56B,117.91B
