Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
VKTR,PT VKTR Teknologi Mobilitas Tbk,15.49T,350.00,"70,612,900",Recreational Vehicles,Consumer Discretionary,1.07T,31.60%,-1.81B,-249.06B
GGRP,PT Gunung Raja Paksi Tbk,2.49T,204.00,"300,1",Steel,Materials,3.84T,-43.09%,-278.06B,131.79B
MKPI,PT Metropolitan Kentjana Tbk,23.25T,"24,525.0","7,1",Real Estate Services,Real Estate,2.52T,4.83%,1.07T,1.23T
JIHD,PT Jakarta International Hotels & Development Tbk,1.36T,585.00,"271,9",Lodging,Consumer Discretionary,1.64T,3.63%,110.90B,358.53B
AISA,PT FKS Food Sejahtera Tbk,1.36T,145.00,"4,927,000",Packaged Foods,Consumer Staples,1.94T,4.47%,93.06B,151.57B
RMKE,PT RMK Energy Tbk,11.81T,"2,720.00","10,485,500",Thermal Coal,Energy,1.83T,-25.94%,227.44B,-42.76B
BBKP,PT Bank KB Indonesia Tbk,12.59T,67.00,"78,838,200",Banks - Regional,Financials,775.13B,-,"-3,351.98B","-8,885.02B"
HEXA,PT Hexindo Adiperkasa Tbk,3.91T,"4,660.00","122,7",Industrial Distribution,Industrials,9.00T,-0.96%,523.66B,711.83B
DEWA,PT Darma Henwa Tbk,14.48T,356.00,"862,968,300",Thermal Coal,Energy,6.22T,-7.55%,170.10B,"-1,390.32B"
SSIA,PT Surya Semesta Internusa Tbk,7.26T,"1,555.00","17,167,800",Engineering & Construction,Industrials,5.71T,6.07%,12.28B,"-1,055.10B"
DMND,PT Diamond Food Indonesia Tbk,5.97T,630.00,"117,8",Packaged Foods,Consumer Staples,10.68T,10.77%,405.93B,130.65B
SMIL,PT Sarana Mitra Luas Tbk,3.83T,440.00,"73,153,800",Rental & Leasing Services,Industrials,423.51B,13.61%,102.02B,-70.42B
LSIP,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,9.58T,"1,405.00","8,112,900",Farm Products,Consumer Staples,5.60T,33.49%,1.92T,2.42T
IMJS,PT Indomobil Multi Jasa Tbk,1.96T,226.00,"4,799,200",Conglomerates,Industrials,4.69T,2.05%,221.99B,-787.71B
MCOL,PT Prima Andalan Mandiri Tbk,13.65T,"3,780.00","10,3",Thermal Coal,Energy,10.99T,-20.28%,817.89B,1.62T
TLDN,PT Teladan Prima Agro Tbk,9.52T,715.00,"1,995,100",Farm Products,Consumer Staples,5.16T,29.22%,1.26T,1.09T
INDO,PT Royalindo Investa Wijaya Tbk,1.01T,226.00,"4,303,200",Lodging,Consumer Discretionary,29.30B,6.22%,28.15B,-26.98B
MPRO,PT Maha Properti Indonesia Tbk,69.85T,"7,025.00","121,6",Real Estate - Development,Real Estate,4.80B,-28.46%,-65.91B,-63.15B
CSRA,PT Cisadane Sawit Raya Tbk,1.72T,815.00,"4,326,000",Farm Products,Consumer Staples,1.64T,71.47%,303.38B,169.67B
INDR,PT. Indo-Rama Synthetics Tbk,1.96T,"3,000.00","65,2",Textile Manufacturing,Consumer Discretionary,12.96T,-5.74%,-278.02B,454.91B
