Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap,MCap_USD_B,log_MCap,Exchange_Name,Country_RU,has_mcap,has_price,has_volume,has_isic,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Profit_Margin,FCF_Margin,Is_Profitable,PE_Ratio,Dividend_Yield,Cluster
Indonesia,IDX,TARA,PT Agung Semesta Sejahtera Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,30.0,1753800.0,302089371648.0,0.018880585728,26.433988743151133,IDX,Индонезия,1,1,1,True,3790000000.0,-11.62,-2280000000.0,-2140000000.0,-60.15831134564644,-56.464379947229546,0.0,,,0
Indonesia,IDX,TAXI,Express Transindo Utama Tbk,Transportasi & Logistik,Pengangkutan Darat Penumpang,H,Transportation and storage,INDONESIA,,15.0,34206000.0,153354698752.0,0.009584668672,25.756019367741526,IDX,Индонезия,1,1,1,True,3180000000.0,-23.42,-3290000000.0,-8890000000.0,-103.45911949685535,-200.0,0.0,,,2
Indonesia,IDX,TAYS,PT Jaya Swarasa Agung Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,55.0,2370300.0,60440596480.0,0.0037775372800000003,24.824926843263206,IDX,Индонезия,1,1,1,True,103440000000.0,-51.23,-74370000000.0,-5160000000.0,-71.89675174013921,-4.988399071925754,0.0,,,0
Indonesia,IDX,TBIG,PT Tower Bersama Infrastructure Tbk,Infrastruktur,Jasa Telekomunikasi Nirkabel,J,Information and communication,INDONESIA,,1620.0,1397800.0,36136802058240.0,2.25855012864,31.21833290958025,IDX,Индонезия,1,1,1,True,6900000000000.0,1.3,1300000000000.0,3620000000000.0,18.84057971014493,52.46376811594203,1.0,,,0
Indonesia,IDX,TBLA,Tunas Baru Lampung Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,640.0,737800.0,3844583981056.0,0.240286498816,28.97768651564774,IDX,Индонезия,1,1,1,True,21310000000000.0,33.65,828660000000.0,-3754920000000.0,3.888596902862506,-17.620459877991554,1.0,,,0
Indonesia,IDX,TBMS,Tembaga Mulia Semanan Tbk,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,1280.0,71200.0,940390416384.0,0.05877440102400001,27.56956096256082,IDX,Индонезия,1,1,1,True,14680000000000.0,19.51,130050000000.0,484510000000.0,0.885899182561308,3.300476839237057,1.0,,,0
Indonesia,IDX,TCID,Mandom Indonesia Tbk,Barang Konsumen Primer,Produk Perawatan Tubuh,C,Manufacturing,INDONESIA,,2690.0,15200.0,1081738723328.0,0.067608670208,27.709590791525613,IDX,Индонезия,1,1,1,True,2100000000000.0,8.11,-4530000000.0,-188340000000.0,-0.2157142857142857,-8.968571428571428,0.0,,,0
Indonesia,IDX,TCPI,PT Transcoal Pacific Tbk.,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,11700.0,5882800.0,58500000514048.0,3.6562500321280003,31.700047878953505,IDX,Индонезия,1,1,1,True,1930000000000.0,3.14,190550000000.0,236940000000.0,9.873056994818654,12.276683937823835,1.0,,,0
Indonesia,IDX,TEBE,PT Dana Brata Luhur Tbk.,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,1150.0,1455400.0,1477749899264.0,0.092359368704,28.02154170848239,IDX,Индонезия,1,1,1,True,497750000000.0,-11.99,127730000000.0,183730000000.0,25.66147664490206,36.91210447011552,1.0,,,0
Indonesia,IDX,TELE,PT Omni Inovasi Indonesia Tbk,Barang Konsumen Non-Primer,Distributor Barang Konsumen,C,Manufacturing,INDONESIA,,9.0,779300.0,65798365184.0,0.0041123978240000005,24.90986082974107,IDX,Индонезия,1,1,1,True,885300000000.0,-67.45,-30720000000.0,445000000.0,-3.4700101660454084,0.05026544674121766,0.0,,,0
Indonesia,IDX,TFAS,PT Telefast Indonesia Tbk.,Teknologi,Aplikasi & Jasa Internet,J,Information and communication,INDONESIA,,204.0,251500.0,337990647808.0,0.021124415488000002,26.54628406283953,IDX,Индонезия,1,1,1,True,323650000000.0,-26.44,225660000.0,-8260000000.0,0.06972346670786343,-2.5521396570369226,1.0,,,0
Indonesia,IDX,TFCO,Tifico Fiber Indonesia Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,C,Manufacturing,INDONESIA,,900.0,200.0,4340768833536.0,0.271298052096,29.09907259893588,IDX,Индонезия,1,1,1,True,3210000000000.0,4.37,91900000000.0,278690000000.0,2.8629283489096573,8.681931464174456,1.0,,,0
Indonesia,IDX,TGKA,Tigaraksa Satria Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,4640.0,5800.0,4261806342144.0,0.266362896384,29.08071421031453,IDX,Индонезия,1,1,1,True,12810000000000.0,-4.75,385140000000.0,416400000000.0,3.0065573770491802,3.250585480093677,1.0,,,0
