Country,Exchange,Ticker,Full Company Name,ISIC_Section,Market_Cap_USD,Volume,turnover,KMeans,Hierarchical,GMM,DBSCAN
Indonesia,IDX,HKMU,PT HK Metals Utama Tbk,B,10067969.024,0.0,0.0,0,1,1,0
Indonesia,IDX,HMSP,HM Sampoerna Tbk,C,5307012481.024,21410200.0,0.004034322526384723,0,1,0,0
Indonesia,IDX,HOKI,PT Buyung Poetra Sembada Tbk.,C,39920730.112,28911100.0,0.7242127065033173,1,0,1,0
Indonesia,IDX,HOME,Hotel Mandarine Regency Tbk,C,69413126.144,703700.0,0.010137852004246998,0,1,0,0
Indonesia,IDX,HOMI,PT Grand House Mulia Tbk,L,24018751.488,10803700.0,0.4498027303957757,1,0,1,0
Indonesia,IDX,HOPE,PT Harapan Duta Pertiwi Tbk.,C,30357633.024,11905300.0,0.3921682560227262,1,0,1,0
Indonesia,IDX,HOTL,Saraswati Griya Lestari Tbk,C,11093750.784,0.0,0.0,0,1,0,0
Indonesia,IDX,HRME,PT Menteng Heritage Realty Tbk.,C,17131407.36,230700.0,0.01346649432542593,0,1,0,0
Indonesia,IDX,HRTA,PT Hartadinata Abadi Tbk,C,722450513.92,26815500.0,0.037117421170482265,1,0,1,0
Indonesia,IDX,HRUM,Harum Energy Tbk,D,819448184.832,19569500.0,0.02388131472157945,1,0,0,0
Indonesia,IDX,HUMI,PT Humpuss Maritim Internasional Tbk,D,182883287.04,72526400.0,0.39657204971462,1,0,1,0
Indonesia,IDX,HYGN,PT Ecocare Indo Pasifik Tbk.,C,23339749.376,2568400.0,0.11004402654987619,1,0,1,0
Indonesia,IDX,IATA,PT MNC Energy Investments Tbk,D,148560183.296,122408700.0,0.8239670770741158,1,0,1,0
Indonesia,IDX,IBFN,PT Intan Baru Prana Tbk,C,7871161.344,431900.0,0.05487119131781324,1,0,1,0
Indonesia,IDX,IBOS,PT Indo Boga Sukses Tbk,C,63013978.112,18558700.0,0.29451719374095175,1,0,1,0
Indonesia,IDX,IBST,Inti Bangun Sejahtera Tbk,J,379097710.592,100.0,2.637842361111591e-07,0,1,0,0
Indonesia,IDX,ICBP,Indofood CBP Sukses Makmur Tbk,C,5174971596.8,5574000.0,0.0010771073610233424,0,1,0,0
Indonesia,IDX,ICON,Island Concepts Indonesia Tbk,C,7492031.488,31791300.0,4.243348423043894,1,0,1,0
Indonesia,IDX,IDEA,PT Idea Indonesia Akademi Tbk,C,8167488.512,17788000.0,2.1779032775944724,1,0,1,0
Indonesia,IDX,IDPR,PT Indonesia Pondasi Raya Tbk.,F,37305876.48,170300.0,0.004564964452485101,0,1,1,0
Indonesia,IDX,IFII,PT Indonesia Fibreboard Industry Tbk,C,131767992.32,73700.0,0.0005593164068328426,0,1,0,0
Indonesia,IDX,IFSH,PT Ifishdeco Tbk.,B,390639321.088,1480600.0,0.00379019704385177,0,1,1,0
Indonesia,IDX,IGAR,Champion Pacific Indonesia Tbk,M,28181336.064,76300.0,0.002707465672554424,0,1,0,0
Indonesia,IDX,IIKP,Inti Agri Resources Tbk,C,105000001.536,200.0,1.9047618768979597e-06,0,1,0,0
Indonesia,IDX,IKAI,Intikeramik Alamasri Industri Tbk,C,16632249.344,18266500.0,1.0982579458856867,1,0,1,0
Indonesia,IDX,IKAN,PT Era Mandiri Cemerlang Tbk,C,4322914.816,154530300.0,35.74678349618444,1,0,1,0
Indonesia,IDX,IKBI,Sumi Indo Kabel Tbk,C,41692499.968,54000.0,0.0012951969788678132,0,1,0,0
Indonesia,IDX,IKPM,PT Ikapharmindo Putramas Tbk.,Q,21479446.528,6200.0,0.0002886480334545797,0,1,0,0
Indonesia,IDX,IMAS,Indomobil Sukses Internasional Tbk,C,253387833.344,117100.0,0.0004621374217325767,0,1,0,0
Indonesia,IDX,IMJS,PT Indomobil Multi Jasa Tbk.,H,108492627.968,2252300.0,0.020759935879369775,0,0,1,0
Indonesia,IDX,IMPC,PT Impack Pratama Industri Tbk,C,6245670977.536,22255300.0,0.0035633161080765112,0,1,0,0
Indonesia,IDX,INAF,Indofarma Tbk.,Q,24406732.8,0.0,0.0,0,1,0,0
Indonesia,IDX,INAI,Indal Aluminium Industry Tbk,B,7484400.128,2304100.0,0.30785366369979306,1,0,1,0
Indonesia,IDX,INCI,Intanwijaya Internasional Tbk,C,8825406.464,110600.0,0.012532000701741278,0,1,0,0
Indonesia,IDX,INCO,Vale Indonesia Tbk,B,3672456036.352,17793700.0,0.004845177130472937,0,1,1,0
Indonesia,IDX,INDF,Indofood Sukses Makmur Tbk,C,3278940405.76,11855500.0,0.003615649732204299,0,1,0,0
Indonesia,IDX,INDO,PT Royalindo Investa Wijaya Tbk,L,45367513.088,8526700.0,0.1879472648954912,1,0,1,0
Indonesia,IDX,INDR,PT Indo-Rama Synthetics Tbk,C,114102575.104,18300.0,0.00016038200700834552,0,1,0,0
Indonesia,IDX,INDS,Indospring Tbk,C,174726479.872,41792200.0,0.2391864131333491,1,0,1,0
Indonesia,IDX,INDX,Tanah Laut Tbk,C,2709590.528,3059300.0,1.1290635866881802,1,0,1,0
Indonesia,IDX,INDY,Indika Energy Tbk,D,1147843903.488,15322000.0,0.013348504926009901,0,1,0,0
Indonesia,IDX,INET,PT Sinergi Inti Andalan Prima Tbk.,J,348364898.304,134396000.0,0.38579087805430834,1,0,1,0
Indonesia,IDX,INKP,Indah Kiat Pulp & Paper Tbk,G,3248396173.312,8475700.0,0.002609195291397707,0,1,1,0
Indonesia,IDX,INOV,PT Inocycle Technology Group Tbk.,C,14126734.336,1417200.0,0.10032042553447507,1,0,1,0
Indonesia,IDX,INPC,Bank Artha Graha Internasional Tbk,K,190858444.8,6490500.0,0.03400687879858486,1,0,1,0
Indonesia,IDX,INPP,Indonesian Paradise Property Tbk,L,548615487.488,1100.0,2.0050472964893478e-06,0,1,0,0
Indonesia,IDX,INPS,PT Indah Prakasa Sentosa Tbk.,D,25390624.768,544000.0,0.02142523096499805,0,0,0,0
Indonesia,IDX,INRU,Toba Pulp Lestari Tbk,C,51215073.28,34500.0,0.0006736298083844116,0,1,0,0
